,Gini
0,0.0
1,0.33020000000000005
2,0.4314
3,0.5214000000000001
4,0.5258
5,0.5562
6,0.5760000000000001
7,0.6016
8,0.5926
9,0.5984
10,0.6172
11,0.6172
12,0.6368
13,0.6332
14,0.6284000000000001
15,0.5944
16,0.5998
17,0.5866
18,0.5874
19,0.5894
20,0.5804
21,0.6116
22,0.6144000000000001
23,0.6112
24,0.6412
25,0.6378
26,0.6202000000000001
27,0.6314
28,0.6314
29,0.6652
30,0.6642
31,0.6708000000000001
32,0.6836
33,0.675
34,0.6462
35,0.624
36,0.6497999999999999
37,0.6584
38,0.6448
39,0.627
40,0.6382
41,0.6457999999999999
42,0.615
43,0.6272
44,0.6113999999999999
45,0.643
46,0.6556
47,0.6278
48,0.6606000000000001
49,0.6834
50,0.6882
51,0.7006
52,0.696
53,0.6834
54,0.667
55,0.6546000000000001
56,0.644
57,0.6414
58,0.6512
59,0.6624
60,0.6632
61,0.6906
62,0.6878
63,0.7021999999999999
64,0.6930000000000001
65,0.7001999999999999
66,0.7034
67,0.6756
68,0.6422
69,0.6308
70,0.628
71,0.6444000000000001
72,0.6354
73,0.6642
74,0.6814
75,0.664
76,0.6482
77,0.6254
78,0.6448
79,0.6394
80,0.6706000000000001
81,0.6516
82,0.6462
83,0.5952
84,0.6096
85,0.6352
86,0.6318
87,0.6358
88,0.6164000000000001
89,0.6156
90,0.6295999999999999
91,0.6446000000000001
92,0.6204000000000001
93,0.6402
94,0.6182000000000001
95,0.6536
96,0.6596
97,0.646
98,0.6372
99,0.6654
